French,English
un éditeur,"publisher, editor"
provincial,provincial
hausser,"to raise [not ""augmenter"" / ""accroître"" / ""grandir"" / ""croître""]"
probable,"probable, likely"
une signature,signature
forcément,"without question, inevitably"
conformément,in accordance
croiser,"to cross [not ""traverser""]"
plastique,plastic
casser,to break [c...]
un héritage,"heritage [not ""patrimoine""]"
voyager,to travel
électronique,electronic
parallèle,"parallel, similar"
répartir,"to distribute, spread out, share out, divide up [not ""distribuer""]"
courageux,courageous
autonome,"autonomous, independent"
réveiller,"to wake up, revive"
un satellite,satellite
fondé,"founded, justified; (agent, clerk)"
blessé,injured
municipal,municipal
salut,"salute, hi, bye"
songer,"to dream [not ""rêver""]"
une enfance,childhood
un ordinateur,computer
merveilleux,"marvellous, wonderful"
sien,"his, hers"
commenter,to comment
inciter,"to incite, encourage [not ""encourager""]"
une prière,prayer
là-dessus,"on top, about it, thereupon [not ""a..."" / ""d...""]"
urbain,urban
un musée,museum
une pluie,rain
une précaution,precaution
anticiper,"to anticipate, foresee, look or think ahead [not ""prévoir""]"
un cheval,horse
un communiqué,"communiqué, release, statement"
nécessiter,"to require, necessitate [not ""requérir""]"
une rivière,"river [not ""fleuve""]"
avertir,"to warn, inform, forewarn"
une rédaction,"writing, composition, redaction"
enceinte,pregnant; (enclosure)
une substance,substance
soigner,"to look after, take care over, treat"
un suicide,suicide
une revendication,"claim, demand [not ""demande""]"
incroyable,"incredible, unbelievable"
un sondage,"poll, survey [not ""scrutin""]"
mineur,minor; (miner)
une composition,"composition, essay, dialling"
débarrasser,"to clear, get rid of [not ""dégager"" / ""débloquer""]"
un récit,"account, narrative [not ""compte""]"
une invitation,invitation
présidentiel,presidential
un concurrent,"competitor, rival"
prévu,"planned [not ""planifié""]"
suisse,Swiss
une accusation,"accusation, indictment"
un paiement,"payment [not ""rémunération"" / ""versement""]"
une comparaison,comparison
musulman,"Muslim, Moslem"
un déplacement,"movement, displacement, trip, travel"
légal,"legal, lawful"
un dispositif,"device, apparatus [not ""appareil""]"
constitutionnel,constitutional
franchement,frankly
tarder,"to delay [not ""retarder""]"
refaire,"to redo, make again"
pleurer,"to cry [not ""crier""]"
débattre,"to discuss, debate [not ""discuter""]"
une immigration,immigration
une contrainte,constraint
lâcher,"to let go, release"
un cercle,"circle, cycle"
génétique,genetic
une importation,import
une tonne,ton
un dieu,god
un cancer,cancer
perdu,"lost, stray, wasted"
obligé,"necessary, required, obliged [not ""nécessaire""]"
un visiteur,visitor
remporter,"to take away, win"
rond,round
un étage,"floor [not ""plancher"" / ""sol""]"
un référendum,referendum
un bébé,baby
une amitié,"friendship, fellowship, amity"
cinquante,fifty
un zéro,zero
un drame,drama
visible,"visible, obvious"
intense,"intense, severe, dense"
une instance,"authority, proceedings, hearing"
une cérémonie,ceremony
une ambition,ambition
recourir,"to turn to, run again"
une sanction,sanction
une haine,"hatred, hate"
un jardin,garden
une nourriture,"food [not ""alimentaire"" / ""aliment"" / ""alimentation""]"
engendrer,"to father, breed, generate, engender"
une infrastructure,infrastructure
un/une adversaire,"opponent, adversary"
africain,African
un géant,"giant, (gigantic)"
un mobile,"mobile, portable, motive, cellphone"
significatif,significative
une circulation,"circulation, traffic [not ""trafic""]"
une cotisation,"subscription, contributions"
une entente,"understanding, agreement, concord [not ""accord""]"
royal,royal
ralentir,to slow down
un cadeau,"present, gift [not ""don""]"
une affirmation,"assertion, affirmation"
un cheveu,"hair [not ""poil""]"
requérir,to require
une stabilité,stability
louer,"to rent, praise, lease"
un gars,"guy [not ""mec""]"
une fleur,flower
un agriculteur,"farmer [not ""fermier""]"
un poète,poet
une destination,destination
un vin,wine
soudain,"sudden, suddenly [not ""subit""]"
une balle,"bullet, ball"
une inflation,inflation
sec,dry
un arrêté,"decree, order [not ""décret""]"
enfermer,to shut
une fabrication,"manufacture, production [not ""fabricant""]"
un paysan,"peasant, farmer"
une transition,transition
humanitaire,humanitarian
répandre,"to spread, spill"
une adoption,"adoption, passing"
adorer,"to adore, worship"
abattre,"to pull down, kill, beat"
une session,"session [not ""séance""]"
entamer,"to start [not ""commencer"" / ""débuter"" / ""entreprendre""]"
un ménage,"housekeeping, housework"
purement,purely
un enjeu,"stake, issue"
un passager,"passenger, (temporary)"
une transformation,"transformation, change"
un appartement,"appartment, flat"
une misère,"poverty, misery [not ""pauvreté""]"
légèrement,"lightly, slightly"
écraser,"to crush, grind"
enrichir,"to expand, enrich, make somebody rich"
un restaurant,restaurant
calculer,to calculate
une discrimination,discrimination
une certitude,certainty
une huile,oil
sacré,sacred
une autonomie,autonomy
un sac,"bag, sack"
un stock,"stock, supply"
un destin,"fate, destiny [not ""sort"" / ""destinée""]"
compromettre,to compromise
arracher,"to pull up, tear up [not ""déchirer""]"
sombre,"dark [not ""obscur""]"
une barre,"bar, rod [not ""bar""]"
une contradiction,contradiction
maîtriser,"to control, overcome, master [not ""contrôler""]"
invoquer,"to call upon, invoke"
une souveraineté,sovereignty
épargner,"to save, spare [not ""sauver""]"
une concentration,concentration
téléphonique,telephone
une remise,"presentation, delivery [not ""présentation""]"
un mec,"guy [not ""gars""]"
violer,"to rape, infringe, violate"
restreindre,"to restrict, cut down, decrease, restrain [not ""modérer""]"
une décennie,decade
aussitôt,"straight away, immediately [not ""immédiatement""]"
officiellement,officially
chasser,"to hunt, chase away"
dîner,(dinner); to dine
personnellement,personally
une solidarité,solidarity
projeter,"to project, plan, throw out"
littéraire,literary
présider,to preside
une fortune,fortune
malheureux,"unhappy, miserable"
numérique,numerical
fréquenter,"to frequent, go around with"
soupçonner,to suspect
une merde,"sh*t, crap"
un entrepreneur,"contractor, entrepreneur"
une exposition,"exhibition, show"
un marchand,merchant
un cri,"shout, cry"
un combattant,fighter
un désert,"desert, wilderness"
un vêtement,"garment, item or article of clothing"
autrefois,in the past
surmonter,"to overcome, top, surmount"
une marchandise,"merchandise, commodity"
un/une autochtone,"native, indigenous peoples"
féminin,feminine
définitivement,"definitely, permanently, for good"
heureusement,"fortunately, luckily"
digne,"dignified, worthy"
un/une guide,guide
un tabac,tobacco
un rendement,"yield, output"
un continent,continent
pleinement,"fully, thoroughly"
un désastre,"disaster [not ""catastrophe""]"
joli,"pretty, attractive"
promouvoir,to promote
une ampleur,"extent, scope, range [not ""portée""]"
un écho,echo
une innovation,innovation
une sélection,selection
confondre,"to mix up, confuse, confound [not ""mélanger""]"
honnête,"honest, decent, fair"
un tournant,"revolving, swivel, encircling, bend, turning point"
une fusion,"fusion, melting, merging"
une collectivité,"community, group, collectivity [not ""communauté""]"
un record,record
excessif,"excessive, inordinate"
ridicule,"ridiculous, silly"
une modalité,"mode, method, modality"
une automobile,automobile
une fondation,"foundation [not ""fondement""]"
un/une terroriste,terrorist
un retrait,"withdrawal [not ""abandon"" / ""prélèvement""]"
un organe,organ
un protocole,"protocol, etiquette"
un paquet,packet
un gain,gain
un écran,screen
sonner,"to ring, sound"
protester,to protest
curieux,curious
effacer,"to erase, clean"
débuter,"to start [not ""commencer"" / ""entamer"" / ""entreprendre""]"
une apparition,"appearance, apparition [not ""air"" / ""mine"" / ""apparence""]"
une allusion,allusion
un lancement,launch
un porteur,"carrier, holder, porter"
préalable,"prior, previous, preliminary, prerequisite"
programmer,"to program, schedule"
traîner,"to drag, pull, trail"
un domicile,"home, place of residence, domicile [not ""foyer""]"
creuser,to dig
quarante,forty
un sacrifice,sacrifice
une barrière,"fence, barrier, gate"
un biais,"way, device; bias"
une feuille,"leaf; sheet, slip"
une délégation,delegation
épuiser,"to exhaust, tire out, wear out, use up [not ""user""]"
un oiseau,bird
librement,freely
un congé,"holiday, time off, day off, notice [not ""fête""]"
une taxe,tax
onze,eleven
téléphoner,"to telephone, phone, call"
serrer,"to tighten, squeeze [not ""presser""]"
caractériser,to characterize
un champion,champion
inverse,"opposite, reverse, inverse [not ""reculer"" / ""renverser""]"
intituler,"to entitle, call"
une possession,"possession, ownership"
un rejet,rejection
un enseignant,teacher
une préparation,preparation
un papa,"dad, daddy"
un collaborateur,"associate, fellow worker, contributor, collaborator"
gêner,"to bother, trouble [not ""déranger"" / ""emmerder"" / ""troubler""]"
un technicien,technician
un cycle,cycle
accumuler,"to accumulate, amass, store, stockpile"
sauvage,"savage, wild"
s'avérer,"to prove to be, turn out"
un prétexte,pretext
impressionnant,"impressive, upsetting"
un scénario,"scenario, script"
une électricité,electricity
gratuit,"free, gratuitous, unwarranted"
révolutionnaire,revolutionary
une jambe,leg
un alcool,alcohol
un privilège,privilege
un week-end,weekend
équivalent,equivalent
regrouper,"to group together, regroup"
un invité,"guest [not ""hôte""]"
militant,militant
insuffisant,"insufficient, inadequate"
une blessure,"injury, wound"
privilégier,"to favour, privilege [not ""favoriser""]"
un midi,"noon, midday"
un disque,disc
une couche,"layer, coat"
dater,to date
un participant,participant
inévitable,"unavoidable, inevitable"
recommencer,"to resume, start again [not ""reprendre""]"
une race,"breed, race"
vivement,"sharply, brusquely, lively, vivaciously"
une beauté,"beauty [not ""beau""]"
une atmosphère,atmosphere
une épaule,shoulder
habituer,"to accustom, get used to, habituate"
une circonscription,"district, constituency [not ""quartier""]"
debout,standing
influencer,to influence
un recul,"backward movement, setback, slip, recoil"
amoureux,"in love, amorous"
mortel,"mortal, deadly, lethal"
un horizon,"horizon, skyline"
délivrer,"to set free, rid, relieve, deliver"
une subvention,subsidy
formel,"formal, definite"
aggraver,"to worsen, aggravate"
un flux,"flow, flux"
alimenter,"to feed, supply"
intelligent,"intelligent, clever, bright"
équilibrer,"to equilibrate, balance"
une bibliothèque,"library, bookcase"
absurde,absurd
un océan,ocean
quelques-uns,"some, a few"
un lait,milk
un tenant,"tenant; incumbent, holder"
stable,stable
un capitaine,captain
solliciter,"to request, solicit, appeal"
convoquer,"to call, summon, convene"
une prévention,"prevention, custody"
dicter,"to dictate, lay down"
un utilisateur,"user [not ""usager""]"
obligatoire,"mandatory, compulsory, obligatory"
un terminal,terminal
choquer,"to shock, offend, shake, disturb"
primaire,primary
vital,vital
terrestre,"land, earth"
un patrimoine,"heritage, assets, patrimony [not ""héritage""]"
conforme,conform
un adjoint,"assistant, deputy [not ""assistante"" / ""député""]"
ultime,ultimate
une intégration,integration
rarement,"rarely, seldom"
couler,"to flow, run, sink"
une destinée,"fate, destiny [not ""sort"" / ""destin""]"
amuser,to amuse
complémentaire,"complementary, supplementary [not ""supplémentaire""]"
satisfaisant,"satisfactory, satisfying"
un accueil,"welcome, reception [not ""réception""]"
un camion,truck
douloureux,"painful, grievous, distressing"
glisser,"to slide, slip, glide"
une diversité,diversity
une indication,"indication [not ""indice""]"
exagérer,"to exaggerate, overdo"
un décès,"death, decease"
parisien,Parisian
psychologique,psychological
réviser,"to review, revise, overhaul"
un profil,"profile, outline, contour"
rater,"to miss, misfire, fail"
un prêtre,priest
tranquille,quiet
un registre,"log, register, registry"
contemporain,contemporary
exclusif,"exclusive, sole"
une performance,performance
un angle,"angle, point of view"
un divorce,divorce
une fermeture,closing
respectif,respective
constamment,"constantly, continuously, consistent"
une horreur,horror
envahir,"to invade, overrun"
un pétrolier,oil; oil tanker
une faculté,"ability, right, option; faculty, university"
un brillant,"shine, glosse, brilliant"
un pacte,"pact, treaty [not ""traité""]"
un suspect,suspect; (suspicious)
affaiblir,to weaken
une assistance,"attendance, assistance"
négliger,to neglect
injuste,"unfair, unjust"
plaider,to plead
récompenser,"to reward, recompense"
une suppression,"deletion, suppression"
une coupure,"cut, cutting"
lent,slow
une gare,"station, railway station; (beware)"
un drapeau,flag
réparer,"to repair, fix, correct, make up"
une sensibilité,"sensitivity, sensibility"
jaune,yellow
existant,existing
un procureur,prosecutor
informatique,computing; (computer science)
une glace,"ice, ice cream; mirror"
pacifique,"peaceful, peace-loving"
une bête,"animal, beast; (stupid)"
un indicateur,indicator
une racine,root
compenser,"to compensate for, make up for"
maritime,maritime
une gravité,"seriousness, solemnity, graveness, gravity"
pénétrer,to penetrate
une restriction,restriction
une civilisation,civilization
rouler,to roll
technologique,technological
un football,"football, soccer"
décevant,disappointing
une législation,legislation
approprier,"to adapt, appropriate, take over [not ""adapter""]"
une tactique,"tactics, (tactical)"
heurter,"to strike, hit, collide [not ""frapper""]"
acceptable,"acceptable, satisfactory"
surgir,"to spring up, arise"
un prince,prince
une vidéo,video
semer,"to sow, scatter, spread"
un créateur,creator
un partenariat,partnership
une thèse,"thesis, argument"
un chômeur,unemployed person
correct,correct
une cuisine,"cooking, kitchen"
succéder,"to succeed, take over [ not ""réussir"" / ""aboutir""]"
un royaume,kingdom
un/une rebelle,"rebel, rebellious"
une provenance,"origin, strange, provenance [not ""origine""]"
une file,"line, queue [not ""queue""]"
un dessin,"drawing, pattern, design [not ""tirage""]"
une viande,meat
un paramètre,parameter
un gré,liking
dessous,"under it; underneath, below, bottom, underside"
un voyageur,traveler
réaliste,"realistic, (realist)"
une condamnation,condemnation
fumer,to smoke
un employeur,employer
un paysage,"landscape, scenery, countryside [not ""campagne""]"
discret,"discreet, tactful, quiet"
une longueur,"length [not ""durée""]"
lentement,slowly
un miracle,miracle
similaire,"similar [not ""analogue"" / ""pareil"" / ""semblable""]"
illégal,illegal
une expansion,expansion
mutuel,mutual
sage,"wise, good, sound, sensible, sage"
un commandement,"command, order, commandment"
un correspondant,correspondent
déboucher,"to unblock, uncork"
une pause,"break, pause"
une répartition,"distribution, spreading"
sacrifier,"to sacrifice, give away"
chimique,chemical
une compétition,"competition [not ""concurrence""]"
combiner,"to combine, devise"
un/une touriste,tourist
ravir,"to delight, rob, ravish"
grimper,"to climb, go up"
un filet,"dribble, trickle, wisp, streak, thread, fillet, net"
atomique,atomic
un/une contribuable,taxpayer
progressivement,progressively
une progression,progression
un nez,nose
antérieur,"previous, earlier, front, anterior"
un pardon,forgiveness
progressif,"progressive [not ""progressiste""]"
une adhésion,"membership, support"
un portrait,"portrait, photograph"
détailler,to detail
valable,valid
une coordination,coordination
inacceptable,unacceptable
rose,"pink, (rose)"
une quête,"quest, pursuit, collection"
un compromis,"compromise, agreement [not ""accord"" / ""entente""]"
un investisseur,investor
présumer,"to presume, assume [not ""assumer""]"
un abandon,"abandonment, desertion, withdrawal [not ""retrait"" / ""prélèvement""]"
identique,identical
sportif,"sports, athletic, competitive"
un mensonge,lie
une défaite,defeat
un meurtrier,"murderer, (deadly, lethal) [not ""assassin""]"
rigoureux,"rigorous, harsh, strict"
mentir,to lie
fréquent,frequent
exploser,"to explode, blow up [not ""éclater""]"
un ambassadeur,ambassador
un observateur,"observer, observant"
revêtir,"to take on, assume [not ""assumer""]"
un accessoire,accessory
une acquisition,"acquisition, acquire, purchase"
une tournée,"tour, round"
une tranche,"slice, edge, section, bracket, slot"
un œuf,egg
un inspecteur,inspector
une tempête,"storm, gale, turmoil, tempest"
un tissu,"fabric, material, cloth, tissue, (woven)"
un souverain,"sovereign, supreme ruler, monarch"
distinct,distinct
une survie,survival
une plage,beach
repousser,"to push away, postpone, repulse"
une plante,plant
nuire,to harm
une putain,"whore, bitch; (stupid)"
une imagination,imagination
accusé,"defendant, accused"
repérer,"to spot, pick out, locate, find"
une directive,"guideline, directive"
une adaptation,adaptation
persister,"to persist, keep up, linger"
une coalition,coalition
diplomatique,diplomatic
une excellence,excellence
une apparence,"appearance [not ""air"" / ""mine"" / ""apparition""]"
oriental,Oriental
une écriture,"writing [not ""écrit""]"
rural,rural
républicain,republican
embarquer,"to embark, board, take on board, load"
une révolte,revolt
intéressé,"concerned, involved, interested"
formidable,"tremendous, considerable [not ""considérable""]"
un tas,"pile, lots of [not ""pile""]"
un parcours,"journey, course, route [not ""trajet"" / ""voyage""]"
disputer,to dispute
une élite,elite
un malheur,misfortune
une aube,"dawn, daybreak"
un salon,"lounge, living room, salon"
infliger,to inflict
un repos,"rest, repose [not ""reste""]"
déjeuner,(lunch;) to have lunch
inhabituel,unusual
une interdiction,"ban, banning"
consentir,"to consent, agree"
variable,variable
une médecine,"medecine, medical science"
contradictoire,"contradictory, conflicting"
déranger,"to disturb, bother, disrupt [not ""gêner"" / ""emmerder""]"
une cible,target
un détenu,"prisoner [not ""prisonnier""]"
volontiers,"with pleasure, willingly, gladly"
un fauteuil,"armchair, seat"
un couloir,"corridor, aisle"
un enthousiasme,"enthusiasm, enthusiastically"
exclusivement,"exclusively, solely"
éthique,"ethical, (ethics)"
une révision,"review, revision, overhaul"
pointer,"to mark off, clock in, clock out, aim, point"
assassiner,"to murder, assassinate"
optimiste,optimistic
instaurer,"to institute, introduce, establish [not ""instituer"" / ""établir""]"
une télé,TV
revendiquer,"to claim, demand"
secouer,"to shake [not ""ébranler""]"
bizarre,"strange, odd [not ""étrange""]"
un abus,"abuse, misuse, breach"
un procédé,"process, processus [not ""processus"" / ""démarche""]"
un pêcheur,fisherman
un/une amateur,amateur
un regret,"regret, regretfully"
isolé,"remote, isolated, insolated"
un trimestre,"quarter; three months, trimester"
une onde,"wave [not ""vague""]"
spatial,"spatial, space"
brut,"raw, crude"
éventuellement,possibly
une vache,cow
un accroissement,"increase [not ""hausse"" / ""augmentation""]"
une aise,"comfort, joy, pleasure, ease [not ""confort""]"
une agression,aggression
un loisir,leisure
une chaleur,heat
ranger,"to tidy up, put away, arrange"
un partage,"division, cutting, sharing"
une étoile,"star [not ""star"" / ""vedette""]"
gris,grey
quasi,"almost, nearly [not ""presque"" / ""quasiment""]"
une description,description
serbe,Serbian
biologique,"biological, nature"
universitaire,"university, academic"
s'emparer,"to seize, grab, snatch [not ""saisir""]"
un mystère,mystery
neutre,"neutral, neuter"
aîné,"oldest, eldest"
trahir,"to betray, give away"
une intelligence,intelligence
admirer,to admire
une licence,"licence, permit [not ""permis""]"
une rigueur,"harshness, severity, rigidness, rigor, strictness"
maternel,"motherly, maternal"
une dent,tooth
un palais,"palace, palate"
belge,Belgian
brutal,brutal
extraire,"to extract, mine, quarry, pull out, remove"
une signification,"significance, meaning"
filer,"to spin, run, get out"
automatique,automatic
un métal,metal
un pain,bread
un plateau,"plateau, tray, set, stage"
une répétition,"repetition, rehearsal"
une diminution,"reduction, decreasing [not ""réduction""]"
une collection,"collection, series"
un gène,gene
accrocher,"to hang up, hang on, put up"
une reine,queen
une privatisation,privatization
une correspondance,"correspondance, connection"
planter,"to plant, pitch"
strictement,strictly
une permanence,"permanence, duty, service"
une compensation,"compensation, clearing"
un lycée,high school
con,"stupid [not ""stupide""]"
une combinaison,combination
une injustice,"injustice, unfairness"
un reportage,"report, reporting"
une violation,"violation, transgression"
se soucier,"to care about, show concern for"
un plafond,"ceiling, roof, maximum"
un opérateur,operator
un/une camarade,"friend, comrade, pal, mate [not ""ami"" / ""copain""]"
une traduction,translation
une compréhension,"understanding, comprehension"
une réglementation,"regulation [not ""règlement""]"
une déception,"disappointment, let-down"
mobiliser,"to mobilize, call up"
encadrer,"to frame, train"
gentil,"nice, kind"
une folie,"madness, folly, insanity"
un terrorisme,terrorism
une illusion,illusion
un portefeuille,"wallet, portfolio"
déplorer,to deplore
précipiter,"to quicken, hasten, precipitate [not ""hâter""]"
une clôture,"enclosure; termination, closure"
piloter,"to fly, pilot, drive"
agréable,"pleasant, nice, agreeable"
une télécommunication,telecommunication
un désaccord,"disagreement, discord, conflict [not ""différend""]"
séduire,"to seduce, charm, captivate, appeal to"
un aliment,"food [not ""alimentaire"" / ""nourriture"" / ""alimentation""]"
une alimentation,"diet, food, groceries, supply, alimentation [not ""alimentaire"" / ""nourriture"" / ""aliment""]"
une pomme,apple
un/une ingénieur,engineer
vider,"to empty, vacate"
attentif,"attentive, scrupulous, careful"
démarrer,to start up
coordonner,to coordinate
une larme,tear
sourd,deaf
une cigarette,cigarette
une vallée,valley
un uranium,uranium
différer,"to differ, vary [not ""varier""]"
honorer,"to honour, do credit to"
une entrevue,"meeting, interview [not ""entretien"" / ""interview""]"
un ressort,resort; spirit; spring
fixe,fixed
une opportunité,"opportunity, timeliness [not ""occasion""]"
artificiel,artificial
une plaque,"plaque, plate, tag"
découler,"to ensue, follow"
décisif,decisive
un piège,trap
prédire,to predict
enterrer,"to bury, lay aside, inter"
une robe,dress
recouvrir,"to cover, hide, conceal"
une pente,slope
un album,album
mixte,mixed
une clinique,"private hospital, (clinical)"
un spectateur,"member of the audience, spectator, onlooker"
un refuge,refuge
un chasseur,"hunter, fighter, page, messenger"
chéri,"darling, love, dear"
une peinture,"painting, paint, picture"
un déchet,"scrap, waste, trash, garbage"
un axe,"axis, axle, main line"
grand-chose,not very much
temporaire,temporary
une affiche,"poster, public notice, bill"
un massacre,"massacre, slaughter"
une actualité,"current events, news"
siéger,"to sit [not ""asseoir""]"
crucial,"crucial, critical"
une marine,"marine, navy [not ""marin""]"
un cadavre,"corpse, cadaver"
un fleuve,"river [not ""rivière""]"
un toit,roof
mécanique,mechanical
une transparence,transparency
redevenir,to become again
détester,"to hate, detest [not ""haïr""]"
un fondateur,founder
une charte,charter
amorcer,"to bait, prime, begin, initiate [not ""initier""]"
une succession,succession
simplifier,to simplify
briller,to shine
ambitieux,ambitious
sale,dirty
un consentement,consent
une productivité,productivity
calmer,"to calm down [not ""apaiser""]"
un mythe,myth
une alternative,"alternative, choice"
soulager,"to relieve, soothe, ease"
un scrutin,"ballot, poll [not ""sondage""]"
une culpabilité,"guilt, culpability"
considérablement,"considerably, significantly, extensively"
bouleverser,"to upset, distress, disturb, turn upside down [not ""désoler""]"
une introduction,introduction
dramatique,"dramatic, tragic, (drama) [not ""tragique""]"
vaincre,"to beat, defeat, overcome, conquer, vanquish"
un chapeau,"hat, cap"
renseigner,"to give information, get information"
une ordonnance,"prescription, organisation, edict, ruling, order"
une aile,"wing, sail, blade"
une température,temperature
une coupe,"cup, bowl, dish, cut [not ""bassin""]"
un rayon,"ray, beam, radius; department, section, shelf"
une lèvre,lip
une pétition,petition
un boulot,"work, job; (plump, tubby)"
correctement,"properly, correctly"
une colonne,column
arranger,"to arrange [not ""disposer"" / ""fixer""]"
lointain,"distant, faraway [not ""distant""]"
danser,to dance
un charbon,"coal, carbon"
promener,"to take for a walk, go for a walk, promenade"
une colline,hill
une poésie,poetry
généraliser,to generalize
une transaction,transaction
une extrémité,"end, extremity"
pénal,penal
un/une économiste,economist
passionner,"to fascinate, grip, impassion [not ""fasciner""]"
bancaire,banking
défaire,"to undo, dismantle, strip, break up"
un calendrier,calendar
un repas,meal
un cul,"bum, arse, ass"
vouer,"to devote, dedicate to, vow to [not ""consacrer"" / ""dévouer""]"
surprenant,"surprising [not ""étonnant""]"
un paradis,"paradise, heaven"
une banlieue,"suburbs, outskirts"
élu,"elected, (elected member)"
un tourisme,"tourism, sightseeing"
une démonstration,"demonstration [not ""manifestation""]"
gravement,"seriously, solemnly, gravely [not ""sérieusement""]"
une infraction,"offence, infrigement, infraction"
un tir,"fire, shot; launch [not ""lancement""]"
un envoi,"sending, dispatching"
un arrangement,"arrangement, layout, order, agreement [not ""disposition""]"
transparent,"transparent, see-through, evident"
collaborer,"to collaborate, contribute"
une danse,"dance, dancing"
tester,to test
proclamer,"to proclaim, declare [not ""déclarer"" / ""décréter""]"
un genou,knee
dominant,"dominant, prevailing"
pardonner,"to forgive, excuse, pardon"
une préférence,"preference, preferably"
vain,"vain, fruitless, shallow"
une rentrée,"reopening, return, start, re-entry"
coller,"to stick, paste"
un monopole,monopoly
approfondir,"to deepen, make deeper, go further into"
un incendie,"fire, blaze"
un péril,peril
un hélicoptère,helicopter
une bouteille,bottle
un championnat,championship
hériter,to inherit
élémentaire,"elementary, rudimentary, basic [not ""rudimentaire""]"
une entité,entity
souffler,"to blow, puff, whisper"
une proximité,"proximity, nearness, closeness"
un mélange,"mixing, mixture, blend"
un pourcentage,"percentage, commission, cut"
un permis,"license, permit, permitted [not ""licence""]"
mélanger,"to mix, mix up, confuse [not ""confondre""]"
proprement,"cleanly, neatly, properly"
enfoncer,"to ram, drive in, hammer in, sink in"
clandestin,"underground, clandestine"
dit,"said, so-called; (tale) [not ""soi-disant"" / ""prétendu""]"
encontre,"contrary to, counter to, against"
syndical,(trade-) union
deviner,"to guess, solve, divine"
tracer,"to draw, write, mark out, trace [not ""dessiner"" / ""puiser""]"
une sagesse,"wisdom, moderation"
baiser,"to kiss [not ""embrasser""]"
super,"great [not ""grand""]"
user,"to wear out, wear away, use up [not ""épuiser""]"
un/une pilote,"pilot, experimental"
abonné,"subscribed, subscriber"
une objection,objection
une correction,correction
une vocation,"vocation, calling"
une facture,"invoice, bill"
un enfer,"hell, inferno"
un luxe,luxury
une nomination,"appointment, nomination"
poster,"(poster;) to post, mail"
un bar,"bar [not ""barre""]"
tantôt,"this afternoon, sometimes"
publiquement,publicly
relancer,"to throw back, restart, relaunch"
comparable,comparable
une sympathie,"sympathie, liking, warmth, friendship"
structurel,structural
dispenser,"to dispense, exempt, avoid"
un copain,"friend, buddy, mate [not ""ami"" / ""camarade""]"
aligner,"to lign up, align"
absorber,"to absorb, remove, take up, take over"
une gueule,"mouth [not ""bouche""]"
un déroulement,"development, progress [not ""développement"" / ""aménagement"" / ""essor""]"
dévoiler,"to unveil, reveal, disclose"
opérationnel,"operational, operating"
freiner,"to brake, slow down"
rattraper,"to recapture, recover, catch up, make up for"
une matinée,morning [duration]
régir,"to govern [not ""gouverner""]"
un compagnon,"companion, craftsman, journeyman"
un bassin,"bowl, basin"
éteindre,"to turn off, extinguish, put out"
ministériel,ministerial; (minister)
une rage,"rage, fury, rabies"
un enregistrement,"recording, registration, check-in, logging"
débarquer,"to unload, land, disembark"
un poème,poem
énormément,enormously
respirer,"to breath, respire"
une dictature,dictatorship
un acheteur,"buyer, purchaser"
équiper,"to equip, kit out, fit out, tool up"
un édifice,"building, edifice"
systématiquement,systematically
un fondement,"foundation [not ""fondation""]"
spirituel,"witty, spiritual, sacred"
un fournisseur,"supplier, provider"
un détriment,detriment
unanime,unanimous
agiter,"to shake, disturb, agitate"
un lot,"share, prize, lot"
nazi,Nazi
un col,"collar, mountain pass"
impressionner,"to impress, upset"
accessible,"accessible, approachable"
une résidence,"residence, block of flats [not ""demeure"" / ""habitation""]"
dedans,"inside, indoors [not ""l...""]"
une élimination,elimination
loger,"to put up, accommodate, stay, find accommodation, lodge"
ouvertement,"openly, overtly"
une patience,patience
stimuler,to stimulate
un classement,"classification, ranking"
une arrestation,"arrest [not ""arrêt""]"
longuement,"at length, for a long time"
agressif,aggressive
une intensité,intensity
une grandeur,"size, greatness, grandeur"
un entraînement,"training, coaching, drive"
déborder,"to overflow, boil over, go out, go over"
un conducteur,"driver, operator, conductor"
une pollution,pollution
islamique,Islamic
un/une ancêtre,"ancestor, forerunner"
une caméra,camera
dissimuler,"to conceal, hide, dissimulate"
une chronique,"chronicle, column, page"
une ère,era
un rappel,"reminder, summary, recall, return, remember"
un fabricant,"manufacturer [not ""fabrication""]"
une utilité,"use, usefulness, utility"
ethnique,ethnic
une attribution,"awarding, allocation, assignment, attribution"
un interlocuteur,"speaker, interlocutor"
spécifier,to specify
souple,"supple, agile, soft, floppy, flexible"
une rémunération,"remuneration, payment, pay [not ""paiement"" / ""versement""]"
une faillite,"bankruptcy, collapse, failure"
touchant,"with regard to, concerning, touching, moving"
hostile,hostile
annexe,"annex, appendix, related issue"
abuser,"to abuse, mislead, take advantage"
une vérification,"check, verification"
aveugle,blind
jurer,to swear
un trésor,"treasure, treasury"
une vingtaine,about twenty
une séquence,sequence
imprimer,"to print, print out, imprint"
un musicien,musician
embrasser,"to kiss, embrace [not ""baiser""]"
une échéance,"expiration date, date of payment, deadline"
un surplus,"surplus [not ""excès"" / ""excédent""]"
prématuré,premature
décrocher,"to take down, take off, pick up, lift"
rembourser,"to reimburse, pay back, pay off, repay"
un routier,"long-distance lorry or truck driver, (road [adj])"
un/une défenseur,defender
une citation,"quote, quotation, citation"
une reconstruction,reconstruction
retomber,"to fall again, fall down again"
