Russian,English
привычный,customary
приглашать/пригласить,to invite (+a)
провинция,province; provinces
прохаживаться/пройтись,to take a walk
различие,difference
ранить,"to wound, injure (+a)"
склон,slope
сохранение,preservation
тесно,tightly; crowded
тетрадь,exercise book
топор,axe
трогать/тронуть,to touch (+a)
тщательно,thoroughly
угрюмо,gloomily
упорный,persistent
шкаф,cupboard
щель,"chink, fissure, slot"
юг,south
японский,Japanese (adj)
балкон,balcony
бокал,wineglass
бродить/по-,to wander
вовремя,on time
волновать/вз-,"to worry, excite, disturb (s.o.) (+a)"
всерьёз,seriously
вход,entrance
гроб,coffin
девка,girl (coll)
действующий,functioning
делегация,delegation
десятый,tenth
заметный,noticeable
заранее,in advance [not вперёд]
защитник,defender
звон,ringing (noun)
исполнять/исполнить (+a),"to carry out, fulfil;  perform"
какой-либо,"any, some"
кандидат,candidate
кирпич,brick
краткий,short
куча,heap
лидер,leader
ложка,spoon
любоваться/по-,to admire (+inst or на +a)
минувший,past (adj)
направо,to the right
невозможный,impossible
ненависть,hate
нитка,thread
общественность,the public
окончательный,final
отражать/отразить,to reflect; repulse (+a)
отчаяние,despair
охотно,willingly
пасха,Easter
письменный,written; writing (adj)
по-видимому,seemingly
покончить (с +inst),"to finish (with), do away with"
почта,"post office; post, mail"
премия,bonus; prize
препятствие,obstacle
призывать/призвать,"to appeal, summon"
природный,natural [not естественный]
происхождение,origin
проникать/проникнуть,to penetrate (sth) (в +a)
ровный,"level; even, equal"
самолюбие,"pride, self-esteem [not гордость]"
светить,to shine
свидетельство,evidence; certificate
совершаться/совершиться,to be accomplished
суть,"essence, substance, matter"
убеждение,"conviction, belief"
стыдиться/по- (+g),to be ashamed of
удерживать/удержать,"to hold back, retain; hold onto; restrain (+a)"
сумка,"bag, handbag"
ценить (+a),to value
сурово,severely
поднос,tray
поднятый,raised [not повышенный]
благодарный,grateful
воспитывать/воспитать,"to educate, bring up (+a)"
вспыхивать/вспыхнуть,"to blaze up, flare up"
в-третьих,thirdly
выгонять/выгнать,"to expel, drive out (+a)"
вытягивать/вытянуть,to stretch out (+a)
гений,genius
героический,heroic
зарабатывать/заработать,to earn (+a)
изволить,"to wish, desire; deign"
интересовать/за-,to interest (+a)
ишь,look (drawing attention to sth) (coll)
классический,classical
климат,climate
марш,march
медведь,bear
мрачный,"gloomy, baleful"
наполнять/наполнить,to fill (+a)
недавний,recent
неизбежно,inevitably
неподвижный,motionless
освещение,illumination
оттенок,"shade, nuance"
папка,"file, folder"
повышать/повысить,to raise (+a)
понадобиться,to be necessary
приступать/приступить (к +d),"to get down to, start on"
продолжение,continuation
проявление,"manifestation, display"
публика,public [noun]
будить/раз-,"to wake, rouse (+a)"
разница,difference
решётка,"grating, grille, railings"
свинья,pig
свистеть/свистнуть,to whistle
скромный,modest
слегка,slightly
смертный,fatal; mortal
снижение,lowering
сочетание,combination
тряпка,rag
философский,philosophical
царство,kingdom
этаж,"floor, storey"
банк,bank (for money)
блестеть,to shine
братец,"old man, mate (form of address)"
величие,greatness
голодный,hungry
громкий,loud
дважды,twice
ежегодно,annually
запасной,"spare, reserve"
запись,recording; written record
засыпать,"to fill sth, cover sth with sth (+a +inst)"
знакомство (с +inst),"acquaintance (with), knowledge (of)"
избирать/избрать,"to choose, elect; select (+a)"
изредка,occasionally
имущество,"property, possessions"
кость,bone
манера,manner
несчастье,misfortune
нетрудно,(it’s) not difficult
оркестр,orchestra
отдалённый,"distant, remote"
откровенный,frank
ошибаться/ошибиться,to make a mistake
пёстрый,"many-coloured, motley [not разноцветный]"
вешать/повесить,to hang (+a)
помещать/поместить,"to accommodate, place (+a)"
предположение,supposition
предупреждать/предупредить,"(+a о +pr) to warn (s.o. about sth), tell in advance"
проживать/прожить,to reside; (p) live for a specified period
пятьсот,five hundred
равенство,equality
рассуждать,to reason; (o +pr) discuss
сзади,from behind
сибирский,Siberian (adj)
скатерть,tablecloth
смирно,quietly
соображение,"consideration, reason"
специально,specially
стрела,arrow
струя,"jet, stream"
узел,knot; junction; bundle
усмешка,slight smile; sneer; smirk
успешный,successful
учебный,educational
яблоко,apple
аккуратно,thoroughly; tidily
бедствие,disaster [not катастрофа]
ближний,near
бытовой,"social, everyday"
введение,introduction
владеть/о- (+inst),to possess; have command of; master
возрастать/возрасти,to grow
гаснуть/по-,"to go out, be extinguished, fade"
данные,data; qualities
девица,girl
отрывать/оторвать,"to tear off, tear away (+a от +g)"
дневник,diary
дружественный,friendly
заведующий (+inst),"manager, head (of)"
исследователь,researcher
истинный,true
картинка,"picture, illustration"
когда-нибудь,ever; some day
коса,plait; scythe
кошка,cat (f)
кризис,crisis
кусочек,small piece
милиция,police [not полиция]
молния,lightning
мышь,mouse
намерение,intention
натура,"nature, character"
оканчивать/окончить,(+a) to finish; graduate (from)
отчёт,report
поворачиваться/повернуться,to turn round
повышенный,raised [not поднятый]
политик,politician
почётный,respected
преодолевать/преодолеть,to overcome (+a)
продавать/продать,to sell (+a)
прохожий,passer-by
прыгать/прыгнуть,to jump
пугать/ис-,to frighten (+a)
пыльный,dusty
российский,Russian (of Russia) (adj)
ругать/из-,"to abuse, scold (+a)"
свадьба,wedding
сладкий,sweet
станок,"machine, machine tool"
скука,boredom
снежный,"snow (adj), snowy"
сокращение,reduction; abbreviation
солдатский,soldier’s
суббота,Saturday
таинственный,mysterious [not загадочный]
толкать/толкнуть,"to push, shove (+a)"
ущерб,damage
хитрый,cunning
честно,honestly
чиновник,bureaucrat; official
штаны,trousers
буфет,snackbar
быстрота,speed
вынуждать/вынудить,"to force, compel (+a +inf)"
выходной,exit (adj)
заботиться/по- (о +pr),"to worry about, concern os with, look after; take care of"
завидовать/по- (+d),to envy
закуривать/закурить,"to start smoking, light up (cigarette etc.) (+a)"
зарубежный,foreign
империя,empire
испытывать/испытать,to test; experience (+a)
камера,"chamber, room, cell"
категория,category
колхозник,collective farmer
колхозный,collective farm (adj)
ложь,"lie, lies"
милость,favour
монета,coin
мчаться/по-,to rush
мышление,thinking (noun)
небось,probably (coll)
определяться/определиться,"to be determined, be defined"
пасть,"maw, jaws (of animal)"
подходящий,suitable
пожимать/пожать,"to press, squeeze (+a)"
поздравлять/поздравить,to congratulate (s.o. on sth) (+a с +inst)
поперёк (+g),across
поручать/поручить,to entrust sth to s.o. (+a +d)
прижимать/прижать,"to press, clasp (sth to sth) (+a к +d)"
противно,disgusting(ly)
проявлять/проявить (+a),"to display, manifest"
рабство,slavery
радостно,joyfully
резать/по-,to cut (+a)
сантиметр,centimetre
сверх (+g),above
свидетель,witness
седой,grey (of hair)
скот,cattle
скрываться/скрыться,"to hide os, vanish"
сырой,damp; raw
тактика,tactics
телефонный,telephone (adj)
течь/по-,to flow; begin to flow
течь,leak
тупик,"cul-de-sac, dead-end"
уверенно,confidently
усмехаться/усмехнуться,"to smile slightly, give a short laugh"
утверждение,assertion; confirmation
хлопать/хлопнуть (+inst),"to bang, slap, clap"
холод,cold (noun)
шептать/шепнуть,to whisper
схватка,"fight, tussle"
эффект,effect
темнеть/по-,to get dark
подозрительно,suspiciously
ай,"oh! (expressing fear, surprise)"
бельё,linen
берёза,birch
бородатый,bearded
ведущий,leading; (as noun) presenter (of programme)
визит,official visit
возмущение,indignation
возражать/возразить (против +g),to object (to)
восклицать/воскликнуть,to exclaim
выделяться/выделиться (из +g),to stand out (from)
выпадать/выпасть (из +g),to fall out (of)
где-нибудь,anywhere
горшок,pot
гроза,thunderstorm
грустный,sad
доноситься/донестись,to reach (sounds etc.)
единица,unit
жадный,greedy
забирать/забрать,to take hold of; take away (+a)
задавать/задать,"to set, assign (sth to s.o.) (+a +d)"
задерживаться/задержаться,to be delayed
закладывать/заложить,"(+a) to put behind; lay down, found; (+inst) block (with); pawn, mortgage"
занавеска,curtain
запирать/запереть,to lock (+a)
издавать/издать,to publish; emit (+a)
испуганно,fearfully
каков,"what, what kind of"
любитель,amateur; lover (of sth)
мебель,furniture
медленный,slow
нарядный,well-dressed
неизбежный,inevitable
ненавидеть/воз-,to hate (+a)
обсуждать/обсудить,to discuss (+a)
опираться/опереться,to lean on (на +a)
освещать/осветить,to illuminate (+a)
отворачиваться/отвернуться (от +g),to turn away (from)
отрицать,to deny (+a)
перевод,translation; transfer
плата,payment
подвергаться/подвергнуться (+d),"to undergo, be subjected to"
подымать/поднять,to raise (coll) (+a)
полно (+g),lots (of) (coll)
полно,that’s enough; full
положительный,positive
попадаться/попасться,to be caught; turn up
преследовать,to pursue; persecute (+a)
пресса,the press
прокурор,prosecutor
просторный,spacious
раздаваться/раздаться,to resound
разработка,"elaboration, working out; design; mining"
разумный,sensible
рамка,frame
расширение,expansion
сверкающий,sparkling
семнадцать,seventeen
словом,in short
складывать/сложить,"to pile up, put together; fold up; add up; put down (+a)"
срывать/сорвать,(+a с +g) to tear off; wreck
табак,tobacco
теперешний,present (adj) (coll)
уголок,"corner, nook"
учёт,calculation; stock-taking; registration
фон,background
фонд,fund; stock
фунт,pound (money or weight)
халат,"dressing-gown; overall, white coat"
четырнадцать,fourteen
электростанция,power station
африканский,African (adj)
барин,"landowner, barin; gentleman"
барышня,young lady
больший,bigger
вдвое,double
ветка,"branch(let), twig"
владелец,owner
волк,wolf
выдумывать/выдумать,"to invent, fabricate, make up (+a)"
выигрывать/выиграть,to win (+a)
выясняться/выясниться,to become clear
гнев,anger
давний,long-ago (adj)
денежный,"money (adj), monetary"
добывать/добыть,"to get, obtain (+a)"
драка,"fight, brawl"
живот,"belly, stomach"
закономерность,"regularity, law"
заслуга,"service, merit, achievement"
издали,from a distance
иллюзия,illusion
качать/качнуть,"to rock, shake, swing (+a or +inst)"
квадратный,square (adj)
красавица,beautiful woman
ласковый,"tender, affectionate"
тётка,aunt; (coll) woman
минеральный,mineral (adj)
техник,technician
мягко,softly
тоненький,slim
недалеко,not far
облик,"look, appearance, image"
обломок,fragment
одеяло,blanket
опускаться/опуститься,to lower os
осколок,splinter
осуществлять/осуществить (+a),"to carry out, accomplish, execute"
помирать/помереть,to die (coll)
поражение,defeat
праздничный,festive
предоставлять/предоставить,"to give, grant (sth to s.o.) (+a +d)"
пропускать/пропустить,"to let through; omit, miss (+a)"
разведка,intelligence service; reconnaissance
распространяться/распространиться,to spread
рубеж,boundary
сарай,shed
сиять,to shine
советовать/по- (+d),to advise (s.o.)
современник,contemporary (noun)
сок,juice
соображать/сообразить,"to realize, work out, think out, understand"
сопровождать,to accompany (+a)
сохраняться/сохраниться,to be preserved
структура,structure
ступень,"step, rung; stage, level, grade"
стыд,shame
тайный,secret (adj)
угнетённый,oppressed
уснуть,to fall asleep
утренний,morning (adj)
философ,philosopher
холодно,coldly; it’s cold
аудитория,auditorium
базар,"bazaar, market"
бронзовый,bronze (adj)
валяться/по-,to roll; lie about
верёвка,rope; string
взволнованный,"anxious, agitated [not беспокойный]"
временный,temporary
выбрасывать/выбросить,to throw out (+a)
глупо,stupidly
долина,valley
дополнительный,additional
дуть/по-,to blow
жалкий,pitiful
зажигать/зажечь,to set fire to (+a)
засыпать/заснуть,to fall asleep
заставать/застать,to find (a person) (+a)
здороваться/по- (c +inst),to greet
известие,piece of news
искренний,sincere
килограмм,kilogram
крыса,rat
мелочь,"trifle, minor matter; small change (coins)"
молодёжный,youth (adj)
мыть/по- (+a),to wash
недостаточно,insufficient(ly); (+g) not enough
немногие,few (people) (pl)
неприятный,unpleasant
огород,kitchen-garden (for vegetables)
описывать/описать,to describe (+a)
отрезать,to cut off (+a)
охватывать/охватить,"to seize, envelop (+a)"
плёнка,"film, (recording) tape"
подземный,underground (adj) [not подпольный]
показываться/показаться,"to show os, be shown"
порой,"at times, occasionally"
порядочный,"decent, respectable"
прикрывать/прикрыть,"to screen, shelter (sth with sth) (+a +inst)"
прилагать/приложить (к +d),"to place in contact with; apply; add, attach (to)"
разводить/развести,to separate; dissolve (+a)
разглядывать,to examine closely (+a)
роща,"small wood, copse"
случайный,"chance (adj), fortuitous"
смело,boldly
смущённо,with embarrassment
создаваться/создаться,to be created; arise
сохранять/сохранить,"to keep, preserve (+a)"
спускаться/спуститься,"to go down, descend"
сумерки,"twilight, dusk"
тяжесть,"weight, burden [not бремя]"
увеличиваться/увеличиться,"to increase, be on the increase"
фашизм,Fascism
автомашина,"car, vehicle"
беспощадный,merciless
брак,"marriage; (no pl) defective product(s), reject(s)"
брошюра,brochure
бугор,mound
вечно,"eternally, always"
возить/по- (+a),to transport (around/there and back)
вплоть (до +g),right up to (adv)
выделять/выделить (+a),"to pick out; allot, assign"
выезжать/выехать (из +g),to leave (by transport)
вытирать/вытереть,"to wipe, wipe dry (+a)"
газетный,newspaper (adj)
топить/по- (+a),"to stoke; heat; (p) sink (sth), drown (s.o.)"
голосовать/про-,to vote (for/against) (за +a/против +g)
трижды,"thrice, three times"
показание,testimony; reading (on instrument)
дуб,oak
жалоба,complaint (about) (на +a)
заболевать/заболеть,to fall ill
заводить/завести,to take somewhere; start (+a)
закрытый,closed
катиться/по-,to roll
книжный,book (adj); bookish
крутить/за-,to twist (+a)
ловко,"skilfully, deftly"
лопата,spade
магнитофон,tape-recorder
мастерство,"skill, craftsmanship"
мужество,courage
наверху,above; upstairs
награда,reward
наряду (с +inst),"equally, alongside"
необыкновенный,unusual
овца,sheep
относить/отнести (+a),to take (somewhere)
падение,fall
подводить/подвести (+a),to lead up; (coll) let (s.o.) down
подозревать,to suspect (+a)
поистине,indeed
покойный,"calm; late, deceased"
посещать/посетить,to visit (a place) (+a)
постановление,"resolution, decree"
пот,sweat
пребывание,stay
предварительный,preliminary; prior
пристально,fixedly
протяжение,extent; expanse
разнообразие,variety
рассматривать/рассмотреть,to examine; make out (+a)
рвать/по-,to tear (+a)
религия,religion
родственник,relative
сбивать/сбить,"(+a) to knock down; confuse; whip, whisk"
сворачивать/свернуть,(+a) to roll (up); turn
сводить/свести (+a),"to take (s.o. somewhere); bring together; (c +g) take down, away"
скамейка,bench
совершенствование,improvement [not улучшение]
сокровище,treasure [not клад]
сплошь,completely
судья,judge; referee
существующий,existing
толщина,thickness
видать/у-,to see (coll) (+a)
ужин,supper
усадьба,country estate
хранить,"to keep, store (+a)"
чашка,cup
чепуха,nonsense
явный,"obvious, overt"
бревно,"log, beam"
виднеться,to be visible
вклад,contribution
восстанавливать/восстановить,to restore (+a)
временно,temporarily
вызов,summons; challenge
вылезать/вылезти (из +g),to climb out (of)
годовой,yearly
готовность,readiness
доступный,accessible
жарко,hotly; it’s hot [not горячо]
задумывать/задумать,to think up; plan (+a)
запрос,official request
издалека,from a distance
интересоваться/за- (+inst),to be interested in
кадр,frame; cadre
кадры,"staff, personnel"
каковой,which (official style)
кивать/кивнуть (+inst),to nod
китайский,Chinese
корм,fodder
красиво,"beautifully, attractively"
кровавый,bloody
крышка,lid
кушать/с-,to eat (+a)
напиваться/напиться (+g),to drink one’s fill; get drunk
нарушение,"violation, offence"
нелегко,(it’s) not easy
нестись/по-,to rush
нить,thread
ночевать/пере-,to spend the night
нравственный,moral (adj) [not моральный]
объединённый,united
окраина,outskirts
описание,description
остановка,stop
очевидный,obvious
трубочка,"small pipe, tube"
очерк,"essay, study"
трус,coward
поливать/полить,to pour (liquid on sth) (+inst +a)
патрон,cartridge
трясти/по- (+a),to shake
помиловать,to pardon (+a)
армянский,Armenian (adj)
по-новому,in a new way
пенсия,pension
плен,captivity
плоский,flat
плотно,tightly
подвал,"cellar, basement"
подчёркивать/подчеркнуть,to underline; emphasize (+a)
подыматься/подняться,to rise; climb (coll)
есть/по-,to eat a little
полгода,half a year
нести/по- (+a),to carry
приниматься/приняться,"to get down to, start work on (за +a)"
присущий (+d),inherent (in)
притом,"besides, in addition"
проигрывать/проиграть,"to lose (a game, a bet) (+a)"
профессиональный,professional (adj)
растерянно,in bewilderment
реклама,advertisement
руководящий,"leading, guiding (adj)"
сжигать/сжечь,to burn (+a)
скамья,bench
скучный,boring
снизу,from below
собеседник,"interlocutor, the person one is talking to"
собор,cathedral
спинка,back (of chair etc.)
прятаться/с-,to hide os
стукать/стукнуть,"to knock, bang (+a)"
торопливо,hastily
тревожить/вс- (+a),to alarm; disturb
убитый,killed
худой,thin; bad
чрезвычайный,extreme; exceptional
шагать/шагнуть,"to step, stride; take a step"
эффективность,effectiveness; efficiency
якобы,allegedly
ярость,rage
аллея,avenue [not бульвар]
баня,bath-house
беспокойство,"agitation, anxiety"
беспорядок,"disorder, mess"
близ (+g),near
бурый,greyish-brown
валить/с-,to topple; heap up (+a)
ведение,"conducting, conduct"
ведение,"authority, control"
величественный,majestic
вздумать (+inf),to decide suddenly (coll)
вмешательство,interference (in) (в +a)
водный,water (adj)
возвращение,return
гриб,mushroom
гусь,goose
девятый,ninth
еда,food
жестоко,cruelly
животный,animal (adj)
забастовка,strike (by workers)
замок,castle
замок,lock
затылок,back of the head
идеал,ideal (noun)
ковёр,carpet
колоссальный,colossal
куда-то,"to some place, somewhere"
мощь,"power, might"
наивный,naive
налево,to the left
неведомый,unknown [not неизвестный]
неудобно,"uncomfortably, awkwardly; it’s awkward"
обман,"deceit, deception"
обходиться/обойтись,to manage; treat; turn out
обязывать/обязать,to oblige s.o. to do sth (+a +inf)
одерживать/одержать,"to obtain, gain (+a)"
освоение,"assimilation, mastery"
пение,singing (noun)
переживать/пережить,(+a) to live through; experience; outlive; suffer
печатать/на-,to print (+a)
пешком,on foot
планирование,planning (noun)
повар,cook
поделать,to do (coll)
познание,"knowledge, cognition"
полёт,flight
последствие,consequence
приблизительно,approximately
пригодиться,to come in useful
прогонять/прогнать,"to drive away; banish, throw out (+a)"
просвещение,education; enlightenment
прочность,"stability, solidity, durability"
проявляться/проявиться,"to show itself, be revealed"
пустынный,"desert (adj), deserted"
рана,wound
расспрашивать/расспросить,to question (+a)
рядовой,"ordinary, rank and file; (as noun) private soldier"
свидетельствовать (о +pr),"to show, be evidence (of)"
слепой,blind
поставка,delivery
трактор,tractor
удаляться/удалиться,"to move away, withdraw"
тушить/по-,to extinguish (+a)
штаб,staff (mil); HQ
борт,side (of a ship)
цех,"section of factory, shop"
порода,"kind, type, breed; rock (geological)"
германский,Germanic
орган,"organ (biol, political)"
орган,organ (musical instrument)
лаборатория,laboratory
казак,Cossack
металл,metal
прибор,"piece of apparatus, gadget, instrument"
обработка,"treatment, processing"
видимый,"visible, evident [not видно]"
эксплуатация,exploitation
колонна,column
рыбак,fisherman
производственный,production (adj)
полицейский,police (adj); (adj used as noun) policeman
завоевание,conquest
бригадир,brigade leader; foreman
показатель,"index, indicator"
часовой,"hour (adj); watch, clock (adj); (as noun) sentry"
слушатель,listener
слышный,audible
срочно,urgently
ссора,quarrel
стадия,stage (of development)
столкновение,"collision, clash"
ступенька,step
судно,"vessel, craft"
теряться/по-,to get lost; lose one’s head
увлечение,enthusiasm; hobby
удивлённо,with surprise
умственный,"mental, intellectual"
учитывать/учесть,"to take into account; take into consideration, bear in mind (+a)"
чей-то,someone’s
яма,"pit, hole"
бег,running; race
беспокоить/о- (+a),to worry (s.o.)
бессмертный,immortal
веселье,merriment
взрывать/взорвать,to blow up (+a)
витрина,shop-window; showcase
внучка,granddaughter
внушать/внушить,"(+a +d) to instil, inspire (sth in s.o.), put sth in s.o.’s head"
возбуждать/возбудить,to arouse (+a)
воин,warrior
гордиться (+inst),to be proud of
горько,bitter(ly)
грустно,sad(ly) [not печально]
густо,thickly; densely
доставаться/достаться (+d),to fall to s.o.’s lot; (coll) catch it (be punished)
дура,"idiot, stupid woman"
ежедневно,every day
заканчиваться/закончиться,to end; finish
изобретение,invention
катастрофа,disaster [not бедствие]
колебаться/по-,to sway; hesitate
лампочка,(light) bulb
легенда,legend
летучий,flying
мгла,"haze, gloom"
младший,younger; junior
мыслить,to think
накрывать/накрыть,to cover; lay (+a)
неплохо,not bad(ly)
ноль,zero
нота,"note (music, diplomatic)"
ноты,sheet music
обильный,abundant
оборачиваться/обернуться,to turn round; turn out
отечественный,of the fatherland; Russian
отечество,fatherland
отставать/отстать (от +g),to lag behind
ощущение,"sensation, feeling"
памятный,memorable
папаша,dad
патриотический,patriotic
передний,front (adj)
перерыв,"break, interval"
повторяться/повториться,to be repeated
поди,probably (coll)
подлец,scoundrel
подхватывать/подхватить,"to pick up, take up (+a)"
краснеть/по-,"to become red; blush, turn red"
поражать/поразить,to strike; astonish; rout (+a)
предполагать/предположить,to suppose
придавать/придать,"to impart, give (sth to sth) (+a +d)"
приезд,arrival
пробираться/пробраться,"to make one’s way through, force one’s way"
протест,protest
радоваться/об- (+d),"to be glad (at), be pleased (about)"
радостный,"glad, joyful"
разноцветный,many-coloured [not пёстрый]
расстреливать/расстрелять,to execute (by shooting) (+a)
редактор,editor
рубить (+a),to chop
сдавать/сдать,"(+a) to hand in, hand over; rent, let; surrender, give up; i: take (exam); p: pass (exam)"
уделять/уделить (+a +d),"to allot, give"
очертание,outline
следствие,consequence; investigation
смущаться/смутиться,to be embarrassed
спускать/спустить,to lower; release (+a)
сухо,drily
телевидение,television (medium)
телевизионный,television (adj)
тревожно,anxiously [not взволнованно]
тяжкий,"heavy, serious"
увлекать/увлечь,"to carry away; fascinate, distract (+a)"
удобно,comfortably; conveniently; it’s convenient
уход,"departure; (за +inst) caring (for), maintenance (of)"
церковный,church (adj)
чудак,"eccentric person, crank"
экземпляр,copy (of book etc.)
юный,young [not молодой]
беспокойный,"anxious, agitated [not взволнованный]"
бинокль,binoculars
верхушка,top; (coll) the bosses
взаимоотношение,interrelation
восемьдесят,eighty
врезаться,"(в +a) to cut into, be engraved"
выгода,advantage
вырабатывать/выработать,(+a) to produce; work out
гладить/по-,(+a) to stroke; iron
городок,small town
гудок,"hooter, car horn; hooting"
договариваться/договориться (с +inst),to reach agreement (with)
досада,annoyance
дьявол,devil [not чёрт]
жаркий,hot [not горячий]
забытый,forgotten
загадка,mystery; riddle
загрязнение,pollution
искра,spark
искренне,sincerely
исполнение,fulfilment; performance
кидать/кинуть,to throw (+a)
коллега,colleague
куда-нибудь,anywhere
мириться/по- (с +inst),to be reconciled with
молитва,prayer
молчаливый,taciturn
монах,monk
наблюдаться,to be observed
наверх,upwards
наклоняться/наклониться,"to bend down, stoop, bend over"
намечать/наметить,to plan (+a)
настаивать/настоять (на +pr),"to insist, get one’s own way"
наставать/настать,to come (of seasons etc.)
обслуживание,service
объединять/объединить (+a),"to unite, combine"
одинаково,identically
одиннадцать,eleven
опасаться (+g),to be afraid of
организатор,organizer
поглядывать,to cast looks at (на +a)
полотенце,towel
работать/по-,"to work, work for a while"
поразительный,astonishing
постройка,building [not здание]
преступник,criminal
привет,greeting
присутствовать,to be present
продажа,sale
равнодушный (к +d),indifferent (to)
расставаться/расстаться (с +inst),to part (with/from)
растущий,growing
рваться/по-,"to tear, burst; want strongly (to do sth)"
сеять/по- (+a),to sow
слабость,weakness
соединяться/соединиться,to unite
тогдашний,then (adj)
уборка,tidying up; harvest
уверять/уверить (+a),to assure
угадывать/угадать,to guess (+a)
удачный,successful
улучшать/улучшить,to improve (+a)
утверждать/утвердить,to confirm (+a)
учёба,"study, studying"
характеризовать,to characterize (+a)
хозяйский,owner’s; boss’s
шкура,"skin, hide, pelt"
шуба,fur coat
автомобильный,car (adj)
башня,tower
беглый,"quick, fleeting"
безработица,unemployment
близость,closeness
вдвоём,together (as a twosome)
взамен (+g),"in exchange (for), instead (of)"
врываться/ворваться,to burst in (в +a)
выбираться/выбраться (из +g),to get out
узелок,small knot; small bundle
почерк,handwriting
выдвигать/выдвинуть,to move out; put forward (+a)
указанный,"indicated, specified"
почтённый,respected
вылетать/вылететь,"to fly out, take off"
украшение,decoration
пощада,mercy
вырывать/вырвать,to pull out (+a)
гвоздь,nail (metal object)
гласность,openness
гнездо,nest
грузовик,"lorry, truck"
дежурный,duty (adj); (as noun) person on duty
дорого,dearly
дружно,"in harmony, simultaneously"
жара,"heat, hot weather"
здешний,"local, from here"
изображать/изобразить,to depict (+a)
испуганный,frightened
казённый,belonging to the State
как-нибудь,somehow; anyhow; sometime (in the future)
картошка,potatoes (coll)
кривой,"squint, crooked"
куртка,(short) jacket
лгать/со-,"to lie, tell lies, tell a lie"
марка,"postage stamp; brand, trade mark"
махать/по- (+inst),to wave
митинг,political meeting
налёт,raid; thin coating
наличие,presence [not присутствие]
некий,a certain
неподалёку,not far away
неприятность,unpleasantness
обвинение,accusation
обвинять/обвинить (+a в +pr),to accuse (s.o. of sth)
оборот,"turn, revolution; turnover; reverse (of page etc.); turn of phrase"
обслуживать/обслужить,to serve (s.o.) (+a)
обычай,custom
обязательный,compulsory
ого,oho!
отражение,reflection
подпись,signature
подсчитывать/подсчитать,"to count up, calculate (+a)"
подчинять/подчинить (+a +d),"to subordinate, subject (s.o. to s.o. or sth)"
покидать/покинуть,to abandon (+a)
полчаса,half an hour
поправлять/поправить,"to correct, put right (+a)"
посетитель,visitor
предпринимать/предпринять,to undertake (+a)
прибавлять/прибавить,to add (+a)
приговор,"verdict, sentence"
разделять/разделить,to divide; separate; share (+a)
смеяться/рас-,to burst out laughing
рассуждение,"reasoning, argument"
ресторан,restaurant
сбрасывать/сбросить,to drop; throw off (+a)
сволочь,"swine, bastard (coll)"
слышно,"audible, audibly"
совместный,"joint, combined"
соединять/соединить (+a),"to unite, join"
соответствие,accordance
специальность,speciality; profession
срочный,urgent
старость,old age
стремительно,swiftly; impetuously
стройный,harmonious; well-proportioned
схема,diagram
счастливо,happily
традиционный,traditional
тысячелетие,millennium
уважаемый,respected
уголовный,criminal (adj)
удовлетворять/удовлетворить (+a),to satisfy; (+d) be in accordance with
уступать/уступить,"to yield, give up, cede (sth to s.o.) (+a +d)"
характеристика,description; reference (for job etc.)
широта,width
безобразие,ugliness; scandal
беспорядочный,disorderly (adj)
благополучие,well-being
британский,British (adj)
бумажный,paper (adj)
важность,importance [not значение]
вблизи,close by
вглядываться/вглядеться,"to gaze at, study, look closely at, peer at (в +a)"
вековой,centuries-old
видеться/у- (c +inst),"to see one another, see each other"
восстановление,restoration
вручать/вручить,"to hand, hand over (+a)"
всесторонний,all-round; thorough
гром,thunder
дружеский,friendly
дума,thought; duma (Russian parliament)
жажда,thirst
забираться/забраться,"to get, steal (into), climb (into/onto) (в/на +a)"
заведение,institution
задерживать/задержать,to delay; arrest (+a)
законный,legal
затрата,expense
избегать/избежать (+g or +inf),to avoid
извиняться/извиниться (перед +inst),to apologize (to)
качаться/качнуться,"to rock, swing"
кипеть/вс-,"to boil, be boiling"
клевета,slander
коробка,box
лекарство,medicine
уменьшаться/уменьшиться,"to diminish, decrease,  be cut down"
предлагаться/предложиться,to be offered
миг,moment
миновать,"to pass, pass by"
морда,"snout, muzzle; (coll) face"
мутный,"turbid, clouded"
нарушать/нарушить,"to disturb, violate, break, infringe (+a)"
небывалый,unprecedented; (coll) inexperienced
некуда,there is nowhere
немалый,considerable
неправильно,incorrectly
неправильный,incorrect
нищета,poverty
обстоять,"to be, stand; get on"
общежитие,hostel
определение,definition
оратор,"orator, speaker"
осторожный,"careful, cautious"
отражаться/отразиться,to be reflected
охранять/охранить,to guard (+a)
очаг,hearth
переносить/перенести (+a),"to transfer, carry over; postpone"
повсюду,everywhere
подпольный,underground (adj) [not подземный]
полдень,midday
порывать/порвать,to tear; break off (+a)
поручение,"commission, errand"
посреди (+g),in the middle (of)
требоваться/по-,"to be necessary, be needed"
предстоящий,"forthcoming, imminent"
привлекать/привлечь,to attract (+a)
проваливаться/провалиться,to fall through; (coll) fail (exam); (coll) vanish
происшествие,"incident, occurrence"
пусто,(it’s) empty; emptily
пустота,emptiness
решимость,"determination, resoluteness"
рождать/родить,to give birth (+a)
свободно,freely [not вольно]
священный,"holy, sacred"
смелость,"bravery, courage"
текст,text
товарный,goods (adj)
турист,tourist; hiker
убийство,murder
убыток,loss [not потеря]
укладывать/уложить,to lay (+a)
